,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
2659,Camberwell,18 Russell St,4,h,2600000.0,VB,Jellis,7/05/2016,7.8,3124.0,3.0,2.0,2.0,600.0,Boroondara,-37.8237,145.0638,Southern Metropolitan,8920.0
2660,Camberwell,19 Thomas St,3,h,2325000.0,PI,Marshall,7/05/2016,7.8,3124.0,3.0,2.0,2.0,1133.0,Boroondara,-37.8426,145.0943,Southern Metropolitan,8920.0
2663,Camberwell,3/220 Warrigal Rd,2,u,435000.0,SP,LITTLE,7/11/2016,7.8,3124.0,2.0,1.0,1.0,896.0,Boroondara,-37.8479,145.0958,Southern Metropolitan,8920.0
2665,Camberwell,2 Oxford St,2,h,892000.0,S,hockingstuart,8/10/2016,7.8,3124.0,2.0,1.0,1.0,335.0,Boroondara,-37.8452,145.0959,Southern Metropolitan,8920.0
2672,Camberwell,3/573 Riversdale Rd,2,t,900400.0,S,Noel,10/09/2016,7.8,3124.0,2.0,1.0,1.0,93.0,Boroondara,-37.8314,145.0611,Southern Metropolitan,8920.0
2674,Camberwell,12 Brinsley Rd,4,h,2090000.0,S,Noel,10/12/2016,7.8,3124.0,4.0,2.0,2.0,650.0,Boroondara,-37.8274,145.0688,Southern Metropolitan,8920.0
2675,Camberwell,3/575 Burke Rd,3,t,1250000.0,VB,Fletchers,10/12/2016,7.8,3124.0,3.0,2.0,2.0,232.0,Boroondara,-37.842,145.0542,Southern Metropolitan,8920.0
2681,Camberwell,4 Range St,3,h,2000000.0,S,Jellis,12/06/2016,7.8,3124.0,3.0,1.0,2.0,821.0,Boroondara,-37.8459,145.0644,Southern Metropolitan,8920.0
2682,Camberwell,163 Through Rd,3,h,1302000.0,S,Fletchers,12/06/2016,7.8,3124.0,2.0,1.0,1.0,427.0,Boroondara,-37.8367,145.0934,Southern Metropolitan,8920.0
2684,Camberwell,2/37 Donna Buang St,3,h,1430000.0,S,J,12/11/2016,7.8,3124.0,3.0,2.0,2.0,244.0,Boroondara,-37.8446,145.06799999999998,Southern Metropolitan,8920.0
2686,Camberwell,13 Grace St,3,h,1622000.0,SP,Noel,12/11/2016,7.8,3124.0,3.0,1.0,1.0,544.0,Boroondara,-37.8436,145.0581,Southern Metropolitan,8920.0
2687,Camberwell,7/5 Holly St,2,u,502000.0,PI,O'Donoghues,12/11/2016,7.8,3124.0,2.0,1.0,1.0,0.0,Boroondara,-37.8255,145.0592,Southern Metropolitan,8920.0
2690,Camberwell,3/220 Warrigal Rd,2,u,435000.0,SP,LITTLE,12/11/2016,7.8,3124.0,2.0,1.0,1.0,896.0,Boroondara,-37.8479,145.0958,Southern Metropolitan,8920.0
2696,Camberwell,2/3 Tyrone St,2,h,620000.0,VB,Jellis,13/08/2016,7.8,3124.0,2.0,1.0,1.0,122.0,Boroondara,-37.8439,145.0718,Southern Metropolitan,8920.0
2697,Camberwell,603 Burke Rd,5,h,2000000.0,VB,Marshall,14/05/2016,7.8,3124.0,5.0,3.0,2.0,801.0,Boroondara,-37.84,145.0548,Southern Metropolitan,8920.0
2699,Camberwell,3/5 Holly St,3,u,591000.0,PI,Jellis,14/05/2016,7.8,3124.0,3.0,1.0,1.0,0.0,Boroondara,-37.8255,145.0592,Southern Metropolitan,8920.0
2704,Camberwell,46 Athelstan Rd,5,h,2608000.0,S,Marshall,15/10/2016,7.8,3124.0,5.0,2.0,4.0,730.0,Boroondara,-37.8424,145.0639,Southern Metropolitan,8920.0
2708,Camberwell,6 Gavan St,3,h,1780000.0,S,Fletchers,15/10/2016,7.8,3124.0,3.0,1.0,1.0,769.0,Boroondara,-37.8482,145.0949,Southern Metropolitan,8920.0
2711,Camberwell,4 Ada St,3,h,2250000.0,S,O'Donoghues,16/04/2016,7.8,3124.0,3.0,2.0,2.0,656.0,Boroondara,-37.841,145.0824,Southern Metropolitan,8920.0
2713,Camberwell,591 Camberwell Rd,2,h,895000.0,PI,O'Donoghues,16/04/2016,7.8,3124.0,2.0,1.0,1.0,424.0,Boroondara,-37.8465,145.0743,Southern Metropolitan,8920.0
2714,Camberwell,5 Cooloongatta Rd,3,h,1800000.0,SP,Marshall,16/04/2016,7.8,3124.0,3.0,2.0,0.0,584.0,Boroondara,-37.8349,145.0758,Southern Metropolitan,8920.0
2716,Camberwell,5 Nicholsdale Rd,4,h,1400000.0,PI,Jellis,16/04/2016,7.8,3124.0,3.0,0.0,0.0,693.0,Boroondara,-37.836,145.0914,Southern Metropolitan,8920.0
2718,Camberwell,2/564 Riversdale Rd,2,u,693000.0,S,Bekdon,16/07/2016,7.8,3124.0,2.0,1.0,1.0,84.0,Boroondara,-37.832,145.0599,Southern Metropolitan,8920.0
2719,Camberwell,2/25 Hazel St,2,u,900000.0,S,Jellis,17/09/2016,7.8,3124.0,2.0,1.0,1.0,150.0,Boroondara,-37.8438,145.066,Southern Metropolitan,8920.0
2720,Camberwell,18 Middle Rd,5,h,2700000.0,VB,Jellis,17/09/2016,7.8,3124.0,5.0,3.0,2.0,802.0,Boroondara,-37.8442,145.0578,Southern Metropolitan,8920.0
2723,Camberwell,8/1277 Toorak Rd,2,u,530000.0,PI,Ross,17/09/2016,7.8,3124.0,2.0,1.0,1.0,0.0,Boroondara,-37.8491,145.086,Southern Metropolitan,8920.0
2726,Camberwell,4/17 Hazel St,2,u,805000.0,PI,Noel,18/03/2017,7.8,3124.0,2.0,2.0,2.0,188.0,Boroondara,-37.8442,145.0668,Southern Metropolitan,8920.0
2727,Camberwell,15 Hollsmoor Rd,4,h,2228000.0,S,Jellis,18/03/2017,7.8,3124.0,4.0,2.0,2.0,813.0,Boroondara,-37.8405,145.0903,Southern Metropolitan,8920.0
2729,Camberwell,4/1 Through Rd,3,t,930000.0,S,Ray,18/03/2017,7.8,3124.0,3.0,2.0,2.0,132.0,Boroondara,-37.8489,145.088,Southern Metropolitan,8920.0
2730,Camberwell,2/1021 Toorak Rd,2,u,590000.0,S,Jellis,18/03/2017,7.8,3124.0,2.0,1.0,1.0,0.0,Boroondara,-37.847,145.0672,Southern Metropolitan,8920.0
2731,Camberwell,37 Victoria Rd,4,h,4760000.0,S,Jellis,18/03/2017,7.8,3124.0,4.0,2.0,2.0,903.0,Boroondara,-37.8238,145.0624,Southern Metropolitan,8920.0
2732,Camberwell,6 Wilson Gr,3,h,1602500.0,S,Lindellas,18/03/2017,7.8,3124.0,3.0,1.0,1.0,405.0,Boroondara,-37.8448,145.071,Southern Metropolitan,8920.0
2735,Camberwell,16 Joffre St,3,t,1515000.0,SP,hockingstuart,18/06/2016,7.8,3124.0,3.0,2.0,2.0,318.0,Boroondara,-37.8447,145.0916,Southern Metropolitan,8920.0
2737,Camberwell,9a Russell St,2,h,1800000.0,PI,Marshall,18/06/2016,7.8,3124.0,2.0,1.0,4.0,368.0,Boroondara,-37.8233,145.0644,Southern Metropolitan,8920.0
2747,Camberwell,6/11 Seymour Gr,2,u,530000.0,PI,Fletchers,22/05/2016,7.8,3124.0,2.0,1.0,1.0,0.0,Boroondara,-37.8361,145.0599,Southern Metropolitan,8920.0
2752,Camberwell,6/68 Brinsley Rd,2,u,558000.0,S,Buxton,22/08/2016,7.8,3124.0,3.0,1.0,1.0,0.0,Boroondara,-37.8316,145.06799999999998,Southern Metropolitan,8920.0
2755,Camberwell,2/13 Glyndon Rd,2,h,1185000.0,S,Kay,22/08/2016,7.8,3124.0,3.0,2.0,2.0,259.0,Boroondara,-37.8357,145.0786,Southern Metropolitan,8920.0
2757,Camberwell,13 Smith Rd,3,h,2177000.0,S,Kay,22/08/2016,7.8,3124.0,3.0,1.0,2.0,635.0,Boroondara,-37.8454,145.0707,Southern Metropolitan,8920.0
2761,Camberwell,14 Hollsmoor Rd,3,h,2155000.0,S,Noel,24/09/2016,7.8,3124.0,3.0,1.0,1.0,891.0,Boroondara,-37.8408,145.0905,Southern Metropolitan,8920.0
2763,Camberwell,68 Bowen St,3,h,3400000.0,S,Jellis,25/02/2017,7.8,3124.0,3.0,2.0,4.0,877.0,Boroondara,-37.8437,145.0623,Southern Metropolitan,8920.0
2764,Camberwell,64A Christowel St,2,h,1470000.0,S,Noel,25/02/2017,7.8,3124.0,2.0,1.0,2.0,400.0,Boroondara,-37.8393,145.0662,Southern Metropolitan,8920.0
2768,Camberwell,2/23 Hazel St,2,u,820000.0,S,Jellis,25/02/2017,7.8,3124.0,2.0,1.0,1.0,166.0,Boroondara,-37.8439,145.0662,Southern Metropolitan,8920.0
2769,Camberwell,26 Hunter Rd,3,h,2105000.0,S,Fletchers,25/02/2017,7.8,3124.0,3.0,1.0,2.0,692.0,Boroondara,-37.8379,145.0849,Southern Metropolitan,8920.0
2771,Camberwell,6 Judd St,3,t,1625000.0,S,Jellis,25/02/2017,7.8,3124.0,3.0,2.0,2.0,283.0,Boroondara,-37.8362,145.064,Southern Metropolitan,8920.0
2772,Camberwell,638 Riversdale Rd,3,h,1750000.0,VB,Jellis,25/02/2017,7.8,3124.0,3.0,2.0,3.0,780.0,Boroondara,-37.8328,145.0679,Southern Metropolitan,8920.0
2775,Camberwell,16A Waterloo St,3,h,3300000.0,S,Kay,25/02/2017,7.8,3124.0,3.0,3.0,2.0,417.0,Boroondara,-37.830999999999996,145.0621,Southern Metropolitan,8920.0
2778,Camberwell,1/3 Crescent Rd,2,u,667000.0,S,Woodards,27/06/2016,7.8,3124.0,2.0,1.0,1.0,83.0,Boroondara,-37.8355,145.0633,Southern Metropolitan,8920.0
2779,Camberwell,30 Smith Rd,5,h,2800000.0,SP,Marshall,27/06/2016,7.8,3124.0,5.0,3.0,2.0,805.0,Boroondara,-37.8459,145.0721,Southern Metropolitan,8920.0
2781,Camberwell,22 Avenue Rd,2,h,1175000.0,PI,Jellis,27/11/2016,7.8,3124.0,2.0,1.0,1.0,246.0,Boroondara,-37.8336,145.0612,Southern Metropolitan,8920.0
2782,Camberwell,3/595 Burke Rd,2,t,775000.0,S,hockingstuart,27/11/2016,7.8,3124.0,2.0,2.0,1.0,103.0,Boroondara,-37.8406,145.0545,Southern Metropolitan,8920.0
2783,Camberwell,16 Callanish Rd,3,h,2220000.0,S,Marshall,27/11/2016,7.8,3124.0,3.0,2.0,2.0,850.0,Boroondara,-37.8456,145.0865,Southern Metropolitan,8920.0
2786,Camberwell,29 Kalang Rd,4,h,2015000.0,S,Jellis,27/11/2016,7.8,3124.0,4.0,1.0,4.0,772.0,Boroondara,-37.8441,145.0806,Southern Metropolitan,8920.0
2787,Camberwell,1/28 Nevis St,2,u,700000.0,S,Marshall,27/11/2016,7.8,3124.0,2.0,1.0,1.0,631.0,Boroondara,-37.8434,145.08100000000002,Southern Metropolitan,8920.0
2788,Camberwell,808 Riversdale Rd,3,h,1700000.0,S,Garvey,27/11/2016,7.8,3124.0,3.0,1.0,1.0,970.0,Boroondara,-37.8344,145.0818,Southern Metropolitan,8920.0
2789,Camberwell,25 Russell St,4,h,3225000.0,S,Marshall,27/11/2016,7.8,3124.0,4.0,3.0,1.0,632.0,Boroondara,-37.8244,145.064,Southern Metropolitan,8920.0
2790,Camberwell,2/22 Seymour Gr,2,u,810000.0,S,Garvey,27/11/2016,7.8,3124.0,2.0,1.0,1.0,0.0,Boroondara,-37.8357,145.0595,Southern Metropolitan,8920.0
2791,Camberwell,44 Athelstan Rd,5,h,3320000.0,SP,Weast,28/05/2016,7.8,3124.0,5.0,4.0,2.0,741.0,Boroondara,-37.8422,145.064,Southern Metropolitan,8920.0
2794,Camberwell,2 Hazel St,5,h,2125000.0,PI,Marshall,28/05/2016,7.8,3124.0,4.0,3.0,2.0,603.0,Boroondara,-37.8437,145.069,Southern Metropolitan,8920.0
2797,Camberwell,91 Radnor St,4,h,2030000.0,S,Jellis,28/05/2016,7.8,3124.0,4.0,2.0,2.0,686.0,Boroondara,-37.8458,145.0611,Southern Metropolitan,8920.0
2798,Camberwell,612 Riversdale Rd,4,h,2750000.0,PI,RT,28/05/2016,7.8,3124.0,4.0,3.0,1.0,0.0,Boroondara,-37.8325,145.0649,Southern Metropolitan,8920.0
2800,Camberwell,532 Burke Rd,4,h,2000000.0,VB,Noel,28/08/2016,7.8,3124.0,4.0,3.0,4.0,697.0,Boroondara,-37.836,145.056,Southern Metropolitan,8920.0
2801,Camberwell,4/26 Cornell St,2,h,706000.0,S,Fletchers,28/08/2016,7.8,3124.0,2.0,1.0,1.0,95.0,Boroondara,-37.8399,145.0912,Southern Metropolitan,8920.0
2802,Camberwell,9 Derby St,5,h,2250000.0,PI,Marshall,28/08/2016,7.8,3124.0,5.0,5.0,1.0,639.0,Boroondara,-37.8303,145.0668,Southern Metropolitan,8920.0
2803,Camberwell,20 Kirkwood Dr,5,h,2740000.0,S,Fletchers,28/08/2016,7.8,3124.0,4.0,2.0,2.0,643.0,Boroondara,-37.8421,145.0719,Southern Metropolitan,8920.0
2811,Canterbury,18 Irilbarra Rd,4,h,2950000.0,S,Marshall,3/09/2016,9.0,3126.0,4.0,2.0,2.0,687.0,Boroondara,-37.8186,145.0706,Southern Metropolitan,3265.0
2814,Canterbury,33 Myrtle Rd,3,h,1587500.0,S,Marshall,3/12/2016,9.0,3126.0,3.0,1.0,1.0,459.0,Boroondara,-37.8265,145.072,Southern Metropolitan,3265.0
2817,Canterbury,1/17 Chatham Rd,4,t,1550000.0,PI,Noel,4/03/2017,9.0,3126.0,4.0,2.0,4.0,318.0,Boroondara,-37.821999999999996,145.0864,Southern Metropolitan,3265.0
2820,Canterbury,1/28 Milton St,2,h,765000.0,S,Jellis,4/03/2017,9.0,3126.0,2.0,1.0,1.0,543.0,Boroondara,-37.8295,145.0774,Southern Metropolitan,3265.0
2824,Canterbury,3/13 Wattle Valley Rd,2,u,830000.0,S,Century,4/06/2016,9.0,3126.0,2.0,1.0,1.0,110.0,Boroondara,-37.8264,145.0824,Southern Metropolitan,3265.0
2827,Canterbury,2 McGregor St,4,h,2375000.0,S,Jellis,7/05/2016,9.0,3126.0,4.0,2.0,1.0,653.0,Boroondara,-37.8292,145.0852,Southern Metropolitan,3265.0
2828,Canterbury,31 Rubens Gr,5,h,2900000.0,PI,Jellis,7/05/2016,9.0,3126.0,5.0,2.0,2.0,795.0,Boroondara,-37.8181,145.0668,Southern Metropolitan,3265.0
2830,Canterbury,42 Warburton Rd,3,h,2200000.0,VB,Noel,7/05/2016,9.0,3126.0,3.0,3.0,2.0,468.0,Boroondara,-37.8264,145.0741,Southern Metropolitan,3265.0
2831,Canterbury,5 Margaret St,4,h,2620000.0,S,Marshall,7/11/2016,9.0,3126.0,4.0,1.0,1.0,717.0,Boroondara,-37.8266,145.0849,Southern Metropolitan,3265.0
2832,Canterbury,5 Dorothea St,2,h,1305000.0,S,Jellis,8/10/2016,9.0,3126.0,2.0,1.0,1.0,342.0,Boroondara,-37.8326,145.08100000000002,Southern Metropolitan,3265.0
2833,Canterbury,3 Monomeath Pl,4,h,4350000.0,S,Marshall,8/10/2016,9.0,3126.0,4.0,3.0,3.0,788.0,Boroondara,-37.8215,145.0731,Southern Metropolitan,3265.0
2834,Canterbury,1b Daphne St,3,h,928000.0,S,Fletchers,10/09/2016,9.0,3126.0,3.0,2.0,1.0,145.0,Boroondara,-37.8233,145.0769,Southern Metropolitan,3265.0
2836,Canterbury,13 Byron St,5,h,2930000.0,S,Jellis,10/12/2016,9.0,3126.0,5.0,3.0,4.0,645.0,Boroondara,-37.8317,145.0738,Southern Metropolitan,3265.0
2837,Canterbury,21 Compton St,4,h,2950000.0,PI,Jellis,10/12/2016,9.0,3126.0,4.0,2.0,3.0,812.0,Boroondara,-37.8323,145.0842,Southern Metropolitan,3265.0
2839,Canterbury,29 Rubens Gr,4,h,3800000.0,PI,Marshall,11/02/2017,9.0,3126.0,4.0,1.0,1.0,858.0,Boroondara,-37.8183,145.0667,Southern Metropolitan,3265.0
2840,Canterbury,4/34 Rochester Rd,2,u,722000.0,S,Jellis,12/11/2016,9.0,3126.0,2.0,1.0,1.0,0.0,Boroondara,-37.8205,145.0828,Southern Metropolitan,3265.0
2843,Canterbury,8 Dudley Pde,5,h,2350000.0,VB,Jellis,15/10/2016,9.0,3126.0,5.0,2.0,4.0,838.0,Boroondara,-37.8252,145.0721,Southern Metropolitan,3265.0
2844,Canterbury,1/8 Faversham Rd,3,t,1680000.0,S,Jellis,15/10/2016,9.0,3126.0,3.0,2.0,2.0,387.0,Boroondara,-37.8227,145.0845,Southern Metropolitan,3265.0
2845,Canterbury,21 Marden St,3,h,1640000.0,PI,Marshall,15/10/2016,9.0,3126.0,3.0,3.0,2.0,352.0,Boroondara,-37.827,145.0737,Southern Metropolitan,3265.0
2847,Canterbury,47 Warburton Rd,3,h,1680000.0,S,Fletchers,17/09/2016,9.0,3126.0,3.0,2.0,1.0,325.0,Boroondara,-37.826,145.0729,Southern Metropolitan,3265.0
2848,Canterbury,77 Highfield Rd,5,h,3550000.0,VB,RT,18/03/2017,9.0,3126.0,5.0,4.0,4.0,684.0,Boroondara,-37.832,145.0853,Southern Metropolitan,3265.0
2849,Canterbury,55 Warburton Rd,3,h,1385000.0,S,Jellis,18/06/2016,9.0,3126.0,2.0,1.0,1.0,444.0,Boroondara,-37.826,145.0734,Southern Metropolitan,3265.0
2850,Canterbury,17 Irilbarra Rd,4,h,3400000.0,S,Jellis,19/11/2016,9.0,3126.0,4.0,1.0,4.0,845.0,Boroondara,-37.8184,145.0702,Southern Metropolitan,3265.0
2854,Canterbury,2/20 Margaret St,2,u,690500.0,SP,Fletchers,23/04/2016,9.0,3126.0,2.0,1.0,1.0,118.0,Boroondara,-37.8257,145.0856,Southern Metropolitan,3265.0
2857,Canterbury,12a View St,3,h,1850000.0,PI,Marshall,26/07/2016,9.0,3126.0,3.0,2.0,2.0,361.0,Boroondara,-37.8206,145.0785,Southern Metropolitan,3265.0
2858,Canterbury,6/124 Canterbury Rd,2,u,736000.0,S,Marshall,27/06/2016,9.0,3126.0,2.0,1.0,2.0,132.0,Boroondara,-37.8234,145.0731,Southern Metropolitan,3265.0
2859,Canterbury,3/34 Faversham Rd,3,t,1843000.0,S,Jellis,27/06/2016,9.0,3126.0,3.0,2.0,2.0,0.0,Boroondara,-37.8207,145.0854,Southern Metropolitan,3265.0
2860,Canterbury,3/124 Canterbury Rd,2,u,685000.0,S,RT,27/11/2016,9.0,3126.0,2.0,1.0,1.0,122.0,Boroondara,-37.8236,145.0729,Southern Metropolitan,3265.0
2862,Canterbury,2A Erica St,2,h,1800000.0,VB,Jellis,27/11/2016,9.0,3126.0,2.0,1.0,3.0,716.0,Boroondara,-37.8213,145.079,Southern Metropolitan,3265.0
2863,Canterbury,1/29 Logan St,3,h,1800000.0,S,Jellis,27/11/2016,9.0,3126.0,3.0,2.0,2.0,316.0,Boroondara,-37.8273,145.0786,Southern Metropolitan,3265.0
2864,Canterbury,35 Myrtle Rd,4,h,3145000.0,S,RW,27/11/2016,9.0,3126.0,4.0,2.0,2.0,796.0,Boroondara,-37.8266,145.072,Southern Metropolitan,3265.0
2867,Canterbury,8 Avenue Athol,4,t,1742000.0,S,Fletchers,28/05/2016,9.0,3126.0,4.0,2.0,2.0,780.0,Boroondara,-37.8206,145.0678,Southern Metropolitan,3265.0
2872,Canterbury,1/27 Maling Rd,4,t,1420000.0,S,O'Donoghues,28/08/2016,9.0,3126.0,3.0,2.0,2.0,278.0,Boroondara,-37.8273,145.0752,Southern Metropolitan,3265.0
2874,Canterbury,2/46 Wattle Valley Rd,2,u,1016000.0,S,Fletchers,30/07/2016,9.0,3126.0,2.0,1.0,2.0,0.0,Boroondara,-37.8291,145.0826,Southern Metropolitan,3265.0
2875,Carlton North,527 Nicholson St,3,h,1330000.0,VB,Nelson,3/09/2016,3.2,3054.0,3.0,1.0,1.0,314.0,Yarra,-37.7871,144.9766,Northern Metropolitan,3106.0
2876,Carlton North,593 Canning St,3,h,1540000.0,S,Nelson,4/03/2017,3.2,3054.0,3.0,1.0,0.0,169.0,Yarra,-37.7821,144.9753,Northern Metropolitan,3106.0
2877,Carlton North,112 Newry St,4,h,1425000.0,S,Nelson,4/03/2017,3.2,3054.0,4.0,3.0,0.0,122.0,Yarra,-37.7893,144.9696,Northern Metropolitan,3106.0
2878,Carlton North,122 Richardson St,2,h,1725000.0,S,hockingstuart,4/03/2017,3.2,3054.0,2.0,1.0,1.0,210.0,Yarra,-37.7844,144.972,Northern Metropolitan,3106.0
2880,Carlton North,632 Rathdowne St,3,h,1280000.0,VB,Nelson,6/08/2016,3.2,3054.0,3.0,1.0,0.0,203.0,Yarra,-37.7824,144.9733,Northern Metropolitan,3106.0
2882,Carlton North,989 Drummond St,3,h,2950000.0,SP,Chambers,7/05/2016,3.2,3054.0,3.0,1.0,2.0,499.0,Yarra,-37.7811,144.9715,Northern Metropolitan,3106.0
2883,Carlton North,700 Rathdowne St,4,h,2175000.0,S,Woodards,7/05/2016,3.2,3054.0,3.0,1.0,0.0,418.0,Yarra,-37.7808,144.9736,Northern Metropolitan,3106.0
2885,Carlton North,2/872 Drummond St,2,t,765000.0,S,Nelson,8/10/2016,3.2,3054.0,2.0,1.0,1.0,1031.0,Yarra,-37.784,144.9715,Northern Metropolitan,3106.0
2887,Carlton North,1 Fletcher La,2,h,800000.0,PI,Nelson,10/12/2016,3.2,3054.0,2.0,1.0,1.0,73.0,Yarra,-37.7852,144.9719,Northern Metropolitan,3106.0
2888,Carlton North,173 MacPherson St,2,h,1301000.0,S,Nelson,10/12/2016,3.2,3054.0,2.0,1.0,0.0,133.0,Yarra,-37.786,144.9704,Northern Metropolitan,3106.0
2891,Carlton North,967 Drummond St,4,h,2718000.0,S,Ray,11/03/2017,3.2,3054.0,4.0,2.0,0.0,538.0,Yarra,-37.7816,144.9714,Northern Metropolitan,3106.0
2892,Carlton North,9/823 Rathdowne St,1,u,468000.0,S,Nelson,11/03/2017,3.2,3054.0,1.0,1.0,1.0,861.0,Yarra,-37.7851,144.9723,Northern Metropolitan,3106.0
2893,Carlton North,392 Station St,2,h,2400000.0,S,Kelly,12/11/2016,3.2,3054.0,1.0,2.0,0.0,413.0,Yarra,-37.7875,144.9759,Northern Metropolitan,3106.0
2894,Carlton North,122 Amess St,3,h,2210000.0,S,Nelson,14/05/2016,3.2,3054.0,2.0,2.0,1.0,190.0,Yarra,-37.7847,144.9741,Northern Metropolitan,3106.0
2895,Carlton North,40 Ogrady St,2,h,1330000.0,S,Nelson,15/10/2016,3.2,3054.0,2.0,1.0,0.0,116.0,Yarra,-37.7904,144.9726,Northern Metropolitan,3106.0
2896,Carlton North,1018 Drummond St,4,h,2520000.0,S,Nelson,16/04/2016,3.2,3054.0,4.0,2.0,2.0,504.0,Yarra,-37.7805,144.9721,Northern Metropolitan,3106.0
2897,Carlton North,354 Station St,3,h,1214000.0,S,Nelson,16/04/2016,3.2,3054.0,3.0,3.0,1.0,144.0,Yarra,-37.7885,144.9757,Northern Metropolitan,3106.0
2898,Carlton North,462 Canning St,3,h,1955000.0,S,Nelson,16/07/2016,3.2,3054.0,3.0,2.0,1.0,163.0,Yarra,-37.786,144.9751,Northern Metropolitan,3106.0
2900,Carlton North,26/174 Lee St,1,u,390000.0,S,Kelly,16/07/2016,3.2,3054.0,1.0,1.0,1.0,0.0,Yarra,-37.7907,144.9691,Northern Metropolitan,3106.0
2901,Carlton North,119 Curtain St,1,h,885000.0,S,Nelson,18/03/2017,3.2,3054.0,1.0,1.0,0.0,93.0,Yarra,-37.7888,144.9698,Northern Metropolitan,3106.0
2902,Carlton North,75 Fenwick St,3,h,2050000.0,S,Nelson,18/03/2017,3.2,3054.0,3.0,2.0,0.0,84.0,Yarra,-37.7879,144.9736,Northern Metropolitan,3106.0
2903,Carlton North,16 Fenwick St,2,h,910000.0,S,Nelson,18/06/2016,3.2,3054.0,3.0,1.0,1.0,100.0,Yarra,-37.7879,144.9759,Northern Metropolitan,3106.0
2904,Carlton North,658 Lygon St,2,h,880000.0,S,Nelson,18/06/2016,3.2,3054.0,2.0,1.0,0.0,142.0,Yarra,-37.7911,144.9688,Northern Metropolitan,3106.0
2905,Carlton North,292 Amess St,4,h,1950000.0,S,Nelson,22/05/2016,3.2,3054.0,4.0,2.0,2.0,207.0,Yarra,-37.7804,144.9748,Northern Metropolitan,3106.0
2906,Carlton North,167 Richardson St,3,h,1280000.0,S,Nelson,22/08/2016,3.2,3054.0,3.0,1.0,1.0,131.0,Yarra,-37.7846,144.9704,Northern Metropolitan,3106.0
2907,Carlton North,14/1102 Lygon St,1,u,437000.0,S,Nelson,24/09/2016,3.2,3054.0,1.0,1.0,1.0,0.0,Yarra,-37.7798,144.9707,Northern Metropolitan,3106.0
2909,Carlton North,984 Lygon St,2,h,1150000.0,VB,Nelson,24/09/2016,3.2,3054.0,2.0,1.0,2.0,373.0,Yarra,-37.7828,144.9702,Northern Metropolitan,3106.0
2910,Carlton North,4 Mary St,2,u,520000.0,VB,Nelson,24/09/2016,3.2,3054.0,2.0,1.0,1.0,0.0,Yarra,-37.7813,144.9773,Northern Metropolitan,3106.0
2915,Carlton North,24/635 Drummond St,2,u,570000.0,S,hockingstuart,27/06/2016,3.2,3054.0,2.0,1.0,1.0,0.0,Yarra,-37.7902,144.97,Northern Metropolitan,3106.0
2917,Carnegie,1/60 Moonya Rd,3,u,820000.0,S,Ray,3/09/2016,11.4,3163.0,3.0,1.0,2.0,0.0,Glen Eira,-37.897,145.0623,Southern Metropolitan,7822.0
2918,Carnegie,1/70 Truganini Rd,2,t,795000.0,S,Gary,3/09/2016,11.4,3163.0,2.0,2.0,1.0,133.0,Glen Eira,-37.8911,145.0539,Southern Metropolitan,7822.0
2921,Carnegie,2/31 Moonya Rd,2,u,600000.0,SP,Woodards,3/12/2016,11.4,3163.0,2.0,1.0,1.0,73.0,Glen Eira,-37.897,145.0593,Southern Metropolitan,7822.0
2922,Carnegie,212 Neerim Rd,3,h,1295000.0,S,hockingstuart,3/12/2016,11.4,3163.0,3.0,1.0,2.0,425.0,Glen Eira,-37.8876,145.0502,Southern Metropolitan,7822.0
2923,Carnegie,218 Neerim Rd,4,h,1275000.0,S,hockingstuart,3/12/2016,11.4,3163.0,4.0,2.0,0.0,365.0,Glen Eira,-37.8877,145.0507,Southern Metropolitan,7822.0
2924,Carnegie,3 Oakleigh Rd,3,h,1620000.0,S,Buxton,3/12/2016,11.4,3163.0,3.0,1.0,1.0,808.0,Glen Eira,-37.8982,145.0461,Southern Metropolitan,7822.0
2925,Carnegie,3/13 Emily St,2,u,510000.0,S,Marshall,4/03/2017,11.4,3163.0,2.0,1.0,1.0,0.0,Glen Eira,-37.8912,145.0644,Southern Metropolitan,7822.0
2927,Carnegie,3/21 Jersey Pde,1,u,255000.0,S,Ray,4/03/2017,11.4,3163.0,1.0,1.0,1.0,0.0,Glen Eira,-37.8875,145.0599,Southern Metropolitan,7822.0
2928,Carnegie,64 Lyons St,2,h,890000.0,S,hockingstuart,4/03/2017,11.4,3163.0,2.0,1.0,1.0,282.0,Glen Eira,-37.8957,145.0528,Southern Metropolitan,7822.0
2929,Carnegie,8/54 Moonya Rd,1,u,346000.0,S,Woodards,4/03/2017,11.4,3163.0,1.0,1.0,1.0,60.0,Glen Eira,-37.8965,145.0618,Southern Metropolitan,7822.0
2930,Carnegie,3/78 Moonya Rd,3,t,860000.0,SP,Gary,4/03/2017,11.4,3163.0,3.0,2.0,1.0,1113.0,Glen Eira,-37.8972,145.0642,Southern Metropolitan,7822.0
2931,Carnegie,1/177 Oakleigh Rd,2,u,586000.0,S,hockingstuart,4/03/2017,11.4,3163.0,2.0,1.0,1.0,898.0,Glen Eira,-37.9003,145.0634,Southern Metropolitan,7822.0
