,amazon_product_url,author,description,publisher,title,oid,bestsellers_date.numberLong,published_date.numberLong,rank.numberInt,rank_last_week.numberInt,weeks_on_list.numberInt,price.numberDouble
275,http://www.amazon.com/Testimony-A-Novel-Anita-Shreve/dp/0316067342?tag=NYTBS-20,Anita Shreve,Descr: A sex scandal at a Vermont prep school is caught on tape.     ,"Little, Brown",TESTIMONY,5b4aa4ead3089013507db34a,2008-10-25 00:00:00,1226188800000,8,0,1,25.99
276,http://www.amazon.com/Dark-Summer-Iris-Johansen/dp/0312368089?tag=NYTBS-20,Iris Johansen,Descr: A veterinarian cares for an injured dog with an amazing secret.     ,St. Martin’s,DARK SUMMER,5b4aa4ead3089013507db34c,2008-10-25 00:00:00,1226188800000,10,0,1,26.95
277,http://www.amazon.com/One-Fifth-Avenue-Candace-Bushnell/dp/B002KAORTS?tag=NYTBS-20,Candace Bushnell,"Descr: The worlds of gossip, theater and hedge funds have one address in common.     ",Hyperion,ONE FIFTH AVENUE,5b4aa4ead3089013507db34d,2008-10-25 00:00:00,1226188800000,11,6,5,25.95
278,http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,Descr: One woman won’t surrender to the aliens that have taken control.     ,"Little, Brown",THE HOST,5b4aa4ead3089013507db34e,2008-10-25 00:00:00,1226188800000,12,11,25,25.99
279,http://www.amazon.com/Heat-Lightning-Virgil-Flowers-No/dp/0425230619?tag=NYTBS-20,John Sandford,Descr: Virgil Flowers investigates murder cases linked by a lemon in the mouth of each victim.     ,Putnam,HEAT LIGHTNING,5b4aa4ead3089013507db34f,2008-10-25 00:00:00,1226188800000,13,7,5,26.95
280,http://www.amazon.com/The-Other-Queen-Philippa-Gregory/dp/1416549145?tag=NYTBS-20,Philippa Gregory,"Descr: The captivity of Mary, Queen of Scots.     ",Touchstone,THE OTHER QUEEN,5b4aa4ead3089013507db352,2008-10-25 00:00:00,1226188800000,16,10,6,25.95
281,http://www.amazon.com/The-Gate-House-Nelson-DeMille-ebook/dp/B0018QOYPW?tag=NYTBS-20,Nelson DeMille,Descr: In a sequel to “The Gold Coast” (1990) a tax attorney and his ex-wife explore a reconciliation.     ,Grand Central,THE GATE HOUSE,5b4aa4ead3089013507db357,2008-11-01 00:00:00,1226793600000,1,0,1,27.99
282,http://www.amazon.com/Extreme-Measures-Thriller-Mitch-Novels/dp/1416505040?tag=NYTBS-20,Vince Flynn,Descr: Mitch Rapp teams up with a C.I.A. colleague to fight a terrorist cell — and the politicians who would rein them in.     ,Atria,EXTREME MEASURES,5b4aa4ead3089013507db358,2008-11-01 00:00:00,1226793600000,2,1,2,27.95
283,http://www.amazon.com/The-Lucky-One-Nicholas-Sparks-ebook/dp/B0018QQQK8?tag=NYTBS-20,Nicholas Sparks,Descr: A marine returning home sets out to track down the woman whose photo he found in Iraq.     ,Grand Central,THE LUCKY ONE,5b4aa4ead3089013507db35a,2008-11-01 00:00:00,1226793600000,No Rank,3,5,24.99
284,http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20,David Wroblewski,Descr: A mute takes refuge with three dogs in the Wisconsin woods after his father’s death.     ,Ecco,THE STORY OF EDGAR SAWTELLE,5b4aa4ead3089013507db35c,2008-11-01 00:00:00,1226793600000,6,5,21,25.95
286,http://www.amazon.com/Testimony-A-Novel-Anita-Shreve/dp/0316067342?tag=NYTBS-20,Anita Shreve,Descr: A sex scandal at a Vermont prep school is caught on tape.     ,"Little, Brown",TESTIMONY,5b4aa4ead3089013507db35f,2008-11-01 00:00:00,1226793600000,9,8,2,25.99
287,http://www.amazon.com/Lion-Among-Wicked-Years-Book/dp/0060548924?tag=NYTBS-20,Gregory Maguire,"Descr: A looming civil war in Oz, seen through the eyes of the Cowardly Lion; Book 3 of the Wicked Years.     ",Morrow,A LION AMONG MEN,5b4aa4ead3089013507db360,2008-11-01 00:00:00,1226793600000,10,7,3,26.95
288,http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,Descr: One woman won’t surrender to the aliens that have taken control.     ,"Little, Brown",THE HOST,5b4aa4ead3089013507db362,2008-11-01 00:00:00,1226793600000,12,12,26,25.99
289,http://www.amazon.com/One-Fifth-Avenue-Candace-Bushnell/dp/B002KAORTS?tag=NYTBS-20,Candace Bushnell,"Descr: The worlds of gossip, theater and hedge funds have one address in common.     ",Hyperion,ONE FIFTH AVENUE,5b4aa4ead3089013507db364,2008-11-01 00:00:00,1226793600000,14,11,6,25.95
290,http://www.amazon.com/Dark-Summer-Iris-Johansen/dp/0312368089?tag=NYTBS-20,Iris Johansen,Descr: A veterinarian cares for an injured dog with an amazing secret.     ,St. Martin’s,DARK SUMMER,5b4aa4ead3089013507db365,2008-11-01 00:00:00,1226793600000,15,10,2,26.95
291,http://www.amazon.com/Cedar-Cove-Christmas-Debbie-Macomber-ebook/dp/B001ANST8Q?tag=NYTBS-20,Debbie Macomber,Descr: A pregnant woman shows up in Cedar Cove on Christmas Eve and goes into labor in a room above a stable.     ,Mira,A CEDAR COVE CHRISTMAS,5b4aa4ead3089013507db366,2008-11-01 00:00:00,1226793600000,16,0,4,16.95
293,http://www.amazon.com/The-Gate-House-Nelson-DeMille-ebook/dp/B0018QOYPW?tag=NYTBS-20,Nelson DeMille,Descr: In a sequel to “The Gold Coast” (1990) a tax attorney and his ex-wife explore a reconciliation.     ,Grand Central,THE GATE HOUSE,5b4aa4ead3089013507db36e,2008-11-08 00:00:00,1227398400000,4,1,2,27.99
294,http://www.amazon.com/Extreme-Measures-Thriller-Mitch-Novels/dp/1416505040?tag=NYTBS-20,Vince Flynn,Descr: Mitch Rapp teams up with a C.I.A. colleague to fight a terrorist cell — and the politicians who would rein them in.     ,Atria,EXTREME MEASURES,5b4aa4ead3089013507db36f,2008-11-08 00:00:00,1227398400000,5,2,3,27.95
295,http://www.amazon.com/The-Lucky-One-Nicholas-Sparks-ebook/dp/B0018QQQK8?tag=NYTBS-20,Nicholas Sparks,Descr: A marine returning home sets out to track down the woman whose photo he found in Iraq.     ,Grand Central,THE LUCKY ONE,5b4aa4ead3089013507db370,2008-11-08 00:00:00,1227398400000,6,4,6,24.99
296,http://www.amazon.com/Midnight-A-Gangster-Love-Story/dp/1416545360?tag=NYTBS-20,Sister Souljah,Descr: A boy from Sudan struggles to protect his mother and sister and remain true to his Islamic principles in a Brooklyn housing project.     ,Atria,MIDNIGHT,5b4aa4ead3089013507db371,2008-11-08 00:00:00,1227398400000,7,0,1,26.95
297,http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20,David Wroblewski,Descr: A mute takes refuge with three dogs in the Wisconsin woods after his father’s death.     ,Ecco,THE STORY OF EDGAR SAWTELLE,5b4aa4ead3089013507db373,2008-11-08 00:00:00,1227398400000,9,6,22,25.95
298,http://www.amazon.com/Testimony-A-Novel-Anita-Shreve/dp/0316067342?tag=NYTBS-20,Anita Shreve,Descr: A sex scandal at a Vermont prep school is caught on tape.     ,"Little, Brown",TESTIMONY,5b4aa4ead3089013507db376,2008-11-08 00:00:00,1227398400000,12,9,3,25.99
299,http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,"Descr: Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.     ","Little, Brown",THE HOST,5b4aa4ead3089013507db377,2008-11-08 00:00:00,1227398400000,13,12,27,25.99
301,http://www.amazon.com/Lion-Among-Wicked-Years-Book/dp/0060548924?tag=NYTBS-20,Gregory Maguire,"Descr: A looming civil war in Oz, seen through the eyes of the Cowardly Lion; Book 3 of the Wicked Years.     ",Morrow,A LION AMONG MEN,5b4aa4ead3089013507db379,2008-11-08 00:00:00,1227398400000,15,10,4,26.95
303,http://www.amazon.com/The-Hour-I-First-Believed/dp/0060393491?tag=NYTBS-20,Wally Lamb,Descr: A man reconstructs five generations of family history and secrets from a cache of old diaries and letters.     ,Harper,THE HOUR I FIRST BELIEVED,5b4aa4ead3089013507db382,2008-11-15 00:00:00,1228003200000,4,0,1,29.95
304,http://www.amazon.com/A-Mercy-Toni-Morrison/dp/0307276767?tag=NYTBS-20,Toni Morrison,"Descr: In 17th-century America, a slave mother urges a Northern farmer to buy her daughter so that she can have a better life.     ",Knopf,A MERCY,5b4aa4ead3089013507db383,2008-11-15 00:00:00,1228003200000,5,0,1,23.95
305,http://www.amazon.com/The-Gate-House-Nelson-DeMille-ebook/dp/B0018QOYPW?tag=NYTBS-20,Nelson DeMille,Descr: In a sequel to “The Gold Coast” (1990) a tax attorney and his ex-wife explore a reconciliation.     ,Grand Central,THE GATE HOUSE,5b4aa4ead3089013507db384,2008-11-15 00:00:00,1228003200000,6,4,3,27.99
306,http://www.amazon.com/Extreme-Measures-Thriller-Mitch-Novels/dp/1416505040?tag=NYTBS-20,Vince Flynn,Descr: Mitch Rapp teams up with a C.I.A. colleague to fight a terrorist cell — and the politicians who would rein them in.     ,Atria,EXTREME MEASURES,5b4aa4ead3089013507db385,2008-11-15 00:00:00,1228003200000,7,5,4,27.95
308,http://www.amazon.com/The-Lucky-One-Nicholas-Sparks-ebook/dp/B0018QQQK8?tag=NYTBS-20,Nicholas Sparks,Descr: A marine returning home sets out to track down the woman whose photo he found in Iraq.     ,Grand Central,THE LUCKY ONE,5b4aa4ead3089013507db387,2008-11-15 00:00:00,1228003200000,9,6,7,24.99
309,http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20,David Wroblewski,Descr: A mute takes refuge with three dogs in the Wisconsin woods after his father’s death.     ,Ecco,THE STORY OF EDGAR SAWTELLE,5b4aa4ead3089013507db389,2008-11-15 00:00:00,1228003200000,11,9,23,25.95
310,http://www.amazon.com/The-Bodies-Left-Behind-Novel/dp/B002BWQ4MI?tag=NYTBS-20,Jeffery Deaver,Descr: A sheriff’s deputy is hunted in the Wisconsin woods by hit men after she finds the scene of their crime.     ,Simon & Schuster,THE BODIES LEFT BEHIND,5b4aa4ead3089013507db38b,2008-11-15 00:00:00,1228003200000,13,0,1,26.95
311,http://www.amazon.com/Midnight-A-Gangster-Love-Story/dp/1416545360?tag=NYTBS-20,Sister Souljah,Descr: A boy from Sudan struggles to protect his mother and sister and remain true to his Islamic principles in a Brooklyn housing project.     ,Atria,MIDNIGHT,5b4aa4ead3089013507db38c,2008-11-15 00:00:00,1228003200000,14,7,2,26.95
312,http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,Descr: One woman won’t surrender to the aliens that have taken control.     ,"Little, Brown",THE HOST,5b4aa4ead3089013507db38d,2008-11-15 00:00:00,1228003200000,15,13,28,25.99
314,http://www.amazon.com/Cross-Country-Alex-James-Patterson/dp/0316018724?tag=NYTBS-20,James Patterson,Descr: Alex Cross chases the leader of a lethal teenage gang.     ,"Little, Brown",CROSS COUNTRY,5b4aa4ead3089013507db393,2008-11-22 00:00:00,1228608000000,1,0,1,27.99
317,http://www.amazon.com/The-Hour-I-First-Believed/dp/0060393491?tag=NYTBS-20,Wally Lamb,Descr: A man reconstructs five generations of family history.     ,Harper,THE HOUR I FIRST BELIEVED,5b4aa4ead3089013507db396,2008-11-22 00:00:00,1228608000000,4,4,2,29.95
318,http://www.amazon.com/A-Mercy-Toni-Morrison/dp/0307276767?tag=NYTBS-20,Toni Morrison,"Descr: In 17th-century America, a slave mother urges a Northern farmer to buy her daughter so that she can have a better life.     ",Knopf,A MERCY,5b4aa4ead3089013507db399,2008-11-22 00:00:00,1228608000000,7,5,2,23.95
319,http://www.amazon.com/The-Gate-House-Nelson-DeMille-ebook/dp/B0018QOYPW?tag=NYTBS-20,Nelson DeMille,Descr: In a sequel to “The Gold Coast” (1990) a tax attorney and his ex-wife explore a reconciliation.     ,Grand Central,THE GATE HOUSE,5b4aa4ead3089013507db39a,2008-11-22 00:00:00,1228608000000,8,6,4,27.99
320,http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20,David Wroblewski,Descr: A mute takes refuge with three dogs in the Wisconsin woods after his father’s death.     ,Ecco,THE STORY OF EDGAR SAWTELLE,5b4aa4ead3089013507db39c,2008-11-22 00:00:00,1228608000000,10,11,24,25.95
321,http://www.amazon.com/The-Lucky-One-Nicholas-Sparks-ebook/dp/B0018QQQK8?tag=NYTBS-20,Nicholas Sparks,Descr: A marine returning home sets out to track down the woman whose photo he found in Iraq.     ,Grand Central,THE LUCKY ONE,5b4aa4ead3089013507db39d,2008-11-22 00:00:00,1228608000000,11,9,8,24.99
322,http://www.amazon.com/Extreme-Measures-Thriller-Mitch-Novels/dp/1416505040?tag=NYTBS-20,Vince Flynn,Descr: Mitch Rapp teams up with a C.I.A. colleague to fight a terrorist cell — and the politicians who would rein them in.     ,Atria,EXTREME MEASURES,5b4aa4ead3089013507db39e,2008-11-22 00:00:00,1228608000000,12,7,5,27.95
324,http://www.amazon.com/The-Bodies-Left-Behind-Novel/dp/B002BWQ4MI?tag=NYTBS-20,Jeffery Deaver,Descr: A sheriff’s deputy is hunted in the Wisconsin woods by hit men after she finds the scene of their crime.     ,Simon & Schuster,THE BODIES LEFT BEHIND,5b4aa4ead3089013507db3a2,2008-11-22 00:00:00,1228608000000,16,13,2,26.95
325,http://www.amazon.com/Cross-Country-Alex-James-Patterson/dp/0316018724?tag=NYTBS-20,James Patterson,Descr: Alex Cross chases the leader of a lethal teenage gang.     ,"Little, Brown",CROSS COUNTRY,5b4aa4ead3089013507db3a7,2008-11-29 00:00:00,1229212800000,1,1,2,27.99
328,http://www.amazon.com/The-Hour-I-First-Believed/dp/0060393491?tag=NYTBS-20,Wally Lamb,Descr: A man reconstructs five generations of family history.     ,Harper,THE HOUR I FIRST BELIEVED,5b4aa4ead3089013507db3ab,2008-11-29 00:00:00,1229212800000,5,4,3,29.95
329,http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20,David Wroblewski,Descr: A mute takes refuge with three dogs in the Wisconsin woods after his father’s death.     ,Ecco,THE STORY OF EDGAR SAWTELLE,5b4aa4ead3089013507db3ad,2008-11-29 00:00:00,1229212800000,7,10,25,25.95
330,http://www.amazon.com/The-Lucky-One-Nicholas-Sparks-ebook/dp/B0018QQQK8?tag=NYTBS-20,Nicholas Sparks,Descr: A marine returning home sets out to track down the woman whose photo he found in Iraq.     ,Grand Central,THE LUCKY ONE,5b4aa4ead3089013507db3af,2008-11-29 00:00:00,1229212800000,9,11,9,24.99
331,http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,"Descr: Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.     ","Little, Brown",THE HOST,5b4aa4ead3089013507db3b0,2008-11-29 00:00:00,1229212800000,10,0,29,25.99
333,http://www.amazon.com/The-Gate-House-Nelson-DeMille-ebook/dp/B0018QOYPW?tag=NYTBS-20,Nelson DeMille,Descr: In a sequel to “The Gold Coast” (1990) a tax attorney and his ex-wife explore a reconciliation.     ,Grand Central,THE GATE HOUSE,5b4aa4ead3089013507db3b2,2008-11-29 00:00:00,1229212800000,No Rank,8,5,27.99
334,http://www.amazon.com/Princeps-Fury-Jim-Butcher/dp/B007XCGJE4?tag=NYTBS-20,Jim Butcher,"Descr: In the fifth book of the Alera fantasy cycle, Alera makes peace with one foe only to face an invasion by the dreaded Vord.     ",Ace,PRINCEPS’ FURY,5b4aa4ead3089013507db3b3,2008-11-29 00:00:00,1229212800000,13,0,1,25.95
335,http://www.amazon.com/A-Mercy-Toni-Morrison/dp/0307276767?tag=NYTBS-20,Toni Morrison,"Descr: In 17th-century America, a slave mother urges a Northern farmer to buy her daughter so that she can have a better life.     ",Knopf,A MERCY,5b4aa4ead3089013507db3b5,2008-11-29 00:00:00,1229212800000,15,7,3,23.95
336,http://www.amazon.com/Extreme-Measures-Thriller-Mitch-Novels/dp/1416505040?tag=NYTBS-20,Vince Flynn,Descr: Mitch Rapp teams up with a C.I.A. colleague to fight a terrorist cell — and the politicians who would rein them in.     ,Atria,EXTREME MEASURES,5b4aa4ead3089013507db3b6,2008-11-29 00:00:00,1229212800000,16,12,6,27.95
337,http://www.amazon.com/Scarpetta-Kay-Patricia-Cornwell/dp/B0040RMEXA?tag=NYTBS-20,Patricia Cornwell,Descr: The forensic pathologist Kay Scarpetta takes an assignment in New York City.     ,Putnam,SCARPETTA,5b4aa4ead3089013507db3bb,2008-12-06 00:00:00,1229817600000,1,0,1,27.95
339,http://www.amazon.com/Cross-Country-Alex-James-Patterson/dp/0316018724?tag=NYTBS-20,James Patterson,Descr: Alex Cross chases the leader of a lethal teenage gang.     ,"Little, Brown",CROSS COUNTRY,5b4aa4ead3089013507db3bd,2008-12-06 00:00:00,1229817600000,3,1,3,27.99
340,http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20,David Wroblewski,Descr: A mute takes refuge with three dogs in the Wisconsin woods after his father’s death.     ,Ecco,THE STORY OF EDGAR SAWTELLE,5b4aa4ead3089013507db3be,2008-12-06 00:00:00,1229817600000,4,7,26,25.95
342,http://www.amazon.com/The-Hour-I-First-Believed/dp/0060393491?tag=NYTBS-20,Wally Lamb,Descr: A man reconstructs five generations of family history.     ,Harper,THE HOUR I FIRST BELIEVED,5b4aa4ead3089013507db3c1,2008-12-06 00:00:00,1229817600000,No Rank,5,4,29.95
343,http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,"Descr: Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.     ","Little, Brown",THE HOST,5b4aa4ead3089013507db3c2,2008-12-06 00:00:00,1229817600000,8,10,30,25.99
344,http://www.amazon.com/The-Lucky-One-Nicholas-Sparks-ebook/dp/B0018QQQK8?tag=NYTBS-20,Nicholas Sparks,Descr: A marine returning home sets out to track down the woman whose photo he found in Iraq.     ,Grand Central,THE LUCKY ONE,5b4aa4ead3089013507db3c6,2008-12-06 00:00:00,1229817600000,12,9,10,24.99
345,http://www.amazon.com/A-Mercy-Toni-Morrison/dp/0307276767?tag=NYTBS-20,Toni Morrison,"Descr: In 17th-century America, a slave mother urges a Northern farmer to buy her daughter so that she can have a better life.     ",Knopf,A MERCY,5b4aa4ead3089013507db3c7,2008-12-06 00:00:00,1229817600000,No Rank,15,4,23.95
347,http://www.amazon.com/The-Gate-House-Nelson-DeMille-ebook/dp/B0018QOYPW?tag=NYTBS-20,Nelson DeMille,Descr: In a sequel to “The Gold Coast” (1990) a tax attorney and his ex-wife explore a reconciliation.     ,Grand Central,THE GATE HOUSE,5b4aa4ead3089013507db3c9,2008-12-06 00:00:00,1229817600000,15,12,6,27.99
348,http://www.amazon.com/Scarpetta-Kay-Patricia-Cornwell/dp/B0040RMEXA?tag=NYTBS-20,Patricia Cornwell,Descr: The forensic pathologist Kay Scarpetta takes an assignment in New York City.     ,Putnam,SCARPETTA,5b4aa4ead3089013507db3cf,2008-12-13 00:00:00,1230422400000,1,1,2,27.95
350,http://www.amazon.com/Cross-Country-Alex-James-Patterson/dp/0316018724?tag=NYTBS-20,James Patterson,Descr: Alex Cross chases the leader of a lethal teenage gang.     ,"Little, Brown",CROSS COUNTRY,5b4aa4ead3089013507db3d1,2008-12-13 00:00:00,1230422400000,3,3,4,27.99
351,http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20,David Wroblewski,Descr: A mute takes refuge with three dogs in the Wisconsin woods after his father’s death.     ,Ecco,THE STORY OF EDGAR SAWTELLE,5b4aa4ead3089013507db3d2,2008-12-13 00:00:00,1230422400000,4,4,27,25.95
352,http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,Descr: One woman won’t surrender to the aliens who have taken control.     ,"Little, Brown",THE HOST,5b4aa4ead3089013507db3d3,2008-12-13 00:00:00,1230422400000,No Rank,8,31,25.99
354,http://www.amazon.com/The-Lucky-One-Nicholas-Sparks-ebook/dp/B0018QQQK8?tag=NYTBS-20,Nicholas Sparks,Descr: A marine returning home sets out to track down the woman whose photo he found in Iraq.     ,Grand Central,THE LUCKY ONE,5b4aa4ead3089013507db3d6,2008-12-13 00:00:00,1230422400000,8,12,11,24.99
355,http://www.amazon.com/The-Hour-I-First-Believed/dp/0060393491?tag=NYTBS-20,Wally Lamb,Descr: A man reconstructs five generations of family history.     ,Harper,THE HOUR I FIRST BELIEVED,5b4aa4ead3089013507db3d7,2008-12-13 00:00:00,1230422400000,9,7,5,29.95
356,http://www.amazon.com/A-Mercy-Toni-Morrison/dp/0307276767?tag=NYTBS-20,Toni Morrison,"Descr: In 17th-century America, a slave mother urges a Northern farmer to buy her daughter so that she can have a better life.     ",Knopf,A MERCY,5b4aa4ead3089013507db3d8,2008-12-13 00:00:00,1230422400000,No Rank,13,5,23.95
357,http://www.amazon.com/The-Gate-House-Nelson-DeMille-ebook/dp/B0018QOYPW?tag=NYTBS-20,Nelson DeMille,Descr: In a sequel to “The Gold Coast” (1990) a tax attorney and his ex-wife explore a reconciliation.     ,Grand Central,THE GATE HOUSE,5b4aa4ead3089013507db3dc,2008-12-13 00:00:00,1230422400000,No Rank,15,7,27.99
360,http://www.amazon.com/Scarpetta-Kay-Patricia-Cornwell/dp/B0040RMEXA?tag=NYTBS-20,Patricia Cornwell,"Descr: The forensic pathologist Kay Scarpetta, newly married, is splitting her time between Boston and New York, where she takes on a new assignment.     ",Putnam,SCARPETTA,5b4aa4ead3089013507db3e4,2008-12-20 00:00:00,1231027200000,2,1,3,27.95
361,http://www.amazon.com/Cross-Country-Alex-James-Patterson/dp/0316018724?tag=NYTBS-20,James Patterson,Descr: Alex Cross chases the leader of a lethal teenage gang.     ,"Little, Brown",CROSS COUNTRY,5b4aa4ead3089013507db3e5,2008-12-20 00:00:00,1231027200000,3,3,5,27.99
362,http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20,David Wroblewski,Descr: A young mute who can communicate with the dogs his family raises takes refuge with three of them in the Wisconsin woods after his father’s death.     ,Ecco,THE STORY OF EDGAR SAWTELLE,5b4aa4ead3089013507db3e6,2008-12-20 00:00:00,1231027200000,4,4,28,25.95
363,http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,"Descr: Aliens have taken control of the minds and bodies of most human beings, but one woman won’t surrender.     ","Little, Brown",THE HOST,5b4aa4ead3089013507db3e7,2008-12-20 00:00:00,1231027200000,No Rank,5,32,25.99
364,http://www.amazon.com/The-Lucky-One-Nicholas-Sparks-ebook/dp/B0018QQQK8?tag=NYTBS-20,Nicholas Sparks,Descr: A marine returning home sets out to track down the woman whose photo he found in Iraq.     ,Grand Central,THE LUCKY ONE,5b4aa4ead3089013507db3e9,2008-12-20 00:00:00,1231027200000,7,8,12,24.99
366,http://www.amazon.com/A-Mercy-Toni-Morrison/dp/0307276767?tag=NYTBS-20,Toni Morrison,"Descr: In 17th-century America, a slave mother urges a Northern farmer to buy her daughter so that she can have a better life, by the Nobel Prize-winning author of “Beloved.”     ",Knopf,A MERCY,5b4aa4ead3089013507db3eb,2008-12-20 00:00:00,1231027200000,9,10,6,23.95
367,http://www.amazon.com/The-Hour-I-First-Believed/dp/0060393491?tag=NYTBS-20,Wally Lamb,Descr: A man reconstructs five generations of family history.     ,Harper,THE HOUR I FIRST BELIEVED,5b4aa4ead3089013507db3ec,2008-12-20 00:00:00,1231027200000,10,9,6,29.95
368,http://www.amazon.com/The-Gate-House-Nelson-DeMille-ebook/dp/B0018QOYPW?tag=NYTBS-20,Nelson DeMille,Descr: In a sequel to “The Gold Coast” (1990) a tax attorney and his ex-wife explore a reconciliation.     ,Grand Central,THE GATE HOUSE,5b4aa4ead3089013507db3ef,2008-12-20 00:00:00,1231027200000,13,14,8,27.99
370,http://www.amazon.com/Scarpetta-Kay-Patricia-Cornwell/dp/B0040RMEXA?tag=NYTBS-20,Patricia Cornwell,"Descr: The forensic pathologist Kay Scarpetta, newly married, is splitting her time between Boston and New York, where she takes on a new assignment.     ",Putnam,SCARPETTA,5b4aa4ead3089013507db3f7,2008-12-27 00:00:00,1231632000000,1,2,4,27.95
371,http://www.amazon.com/Cross-Country-Alex-James-Patterson/dp/0316018724?tag=NYTBS-20,James Patterson,Descr: Alex Cross chases the leader of a lethal teenage gang.     ,"Little, Brown",CROSS COUNTRY,5b4aa4ead3089013507db3f8,2008-12-27 00:00:00,1231632000000,2,3,6,27.99
373,http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20,David Wroblewski,Descr: A young mute who can communicate with the dogs his family raises takes refuge with three of them in the Wisconsin woods after his father’s death.     ,Ecco,THE STORY OF EDGAR SAWTELLE,5b4aa4ead3089013507db3fa,2008-12-27 00:00:00,1231632000000,4,4,29,25.95
374,http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,"Descr: Aliens have taken control of the minds and bodies of most human beings, but one woman won’t surrender.     ","Little, Brown",THE HOST,5b4aa4ead3089013507db3fb,2008-12-27 00:00:00,1231632000000,5,5,33,25.99
375,http://www.amazon.com/The-Lucky-One-Nicholas-Sparks-ebook/dp/B0018QQQK8?tag=NYTBS-20,Nicholas Sparks,Descr: A marine returning home sets out to track down the woman whose photo he found in Iraq.     ,Grand Central,THE LUCKY ONE,5b4aa4ead3089013507db3fd,2008-12-27 00:00:00,1231632000000,7,7,13,24.99
376,http://www.amazon.com/The-Hour-I-First-Believed/dp/0060393491?tag=NYTBS-20,Wally Lamb,Descr: A man reconstructs five generations of family history.     ,Harper,THE HOUR I FIRST BELIEVED,5b4aa4ead3089013507db3fe,2008-12-27 00:00:00,1231632000000,8,10,7,29.95
378,http://www.amazon.com/A-Mercy-Toni-Morrison/dp/0307276767?tag=NYTBS-20,Toni Morrison,"Descr: In 17th-century America, a slave mother urges a Northern farmer to buy her daughter so that she can have a better life, by the Nobel Prize-winning author of “Beloved.”     ",Knopf,A MERCY,5b4aa4ead3089013507db401,2008-12-27 00:00:00,1231632000000,11,9,7,23.95
379,http://www.amazon.com/The-Gate-House-Nelson-DeMille-ebook/dp/B0018QOYPW?tag=NYTBS-20,Nelson DeMille,Descr: In a sequel to “The Gold Coast” (1990) a tax attorney and his ex-wife explore a reconciliation.     ,Grand Central,THE GATE HOUSE,5b4aa4ead3089013507db403,2008-12-27 00:00:00,1231632000000,13,13,9,27.99
382,http://www.amazon.com/Scarpetta-Kay-Patricia-Cornwell/dp/B0040RMEXA?tag=NYTBS-20,Patricia Cornwell,"Descr: The forensic pathologist Kay Scarpetta, newly married, is splitting her time between Boston and New York, where she takes on a new assignment.     ",Putnam,SCARPETTA,5b4aa4ead3089013507db40c,2009-01-03 00:00:00,1232236800000,2,1,5,27.95
383,http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,"Descr: Aliens have taken control of the minds and bodies of most human beings, but one woman won’t surrender.     ","Little, Brown",THE HOST,5b4aa4ead3089013507db40d,2009-01-03 00:00:00,1232236800000,3,5,34,25.99
